customerID,gender,Partner,Dependents,tenure,Contract,MonthlyCharges,Churn
6289-CPNLD,Male,Yes,Yes,33,One year,73.9,Yes
6243-OZGFH,Female,No,No,23,Month-to-month,44.95,No
4043-MKDTV,Male,Yes,No,71,Two year,105.25,No
3354-OADJP,Female,No,No,8,One year,54.25,No
8232-CTLKO,Female,Yes,Yes,66,Two year,59.75,No
7551-DACSP,Male,Yes,Yes,6,Month-to-month,55.3,Yes
9360-OMDZZ,Male,No,No,24,Month-to-month,94.1,No
3146-MSEGF,Female,Yes,Yes,72,Two year,88.05,No
9170-GYZJC,Female,Yes,Yes,41,Month-to-month,79.9,Yes
8731-WBBMB,Female,Yes,No,26,Month-to-month,81.9,No
7094-MSZAO,Male,Yes,Yes,10,Month-to-month,20.05,No
8734-DKSTZ,Female,Yes,Yes,10,Month-to-month,85.95,No
3439-GVUSX,Male,No,No,1,Month-to-month,24.4,No
7326-RIGQZ,Male,Yes,Yes,6,Month-to-month,69.8,No
9921-EZKBY,Male,No,Yes,33,Month-to-month,95.3,No
3164-AALRN,Male,No,No,5,One year,70,Yes
1936-UAFEH,Female,No,No,68,Two year,110.25,No
0136-IFMYD,Male,Yes,No,69,Two year,109.95,No
8519-QJGJD,Female,No,No,14,Month-to-month,75.35,Yes
8097-OMULG,Male,Yes,Yes,59,One year,76.75,No
8152-VETUR,Female,Yes,No,72,Two year,97.7,No
4826-XTSOH,Male,Yes,No,1,Month-to-month,86.05,Yes
3407-QGWLG,Male,No,Yes,3,Month-to-month,20.05,No
1989-PRJHP,Male,Yes,No,27,Month-to-month,75.5,Yes
0103-CSITQ,Female,Yes,No,57,One year,109.4,No
4785-FCIFB,Female,Yes,No,61,Two year,24.4,No
5989-OMNJE,Female,Yes,Yes,24,One year,57.6,No
5949-HGVJL,Female,Yes,No,26,Month-to-month,73.05,No
1518-VOWAV,Female,No,No,9,Month-to-month,74.65,Yes
1452-UZOSF,Male,Yes,Yes,72,Two year,106.1,No
0565-JUPYD,Male,No,No,63,One year,104.5,No
7030-NJVDP,Male,Yes,No,24,Month-to-month,89.25,No
8654-DHAOW,Female,No,No,2,Month-to-month,54.15,No
0481-SUMCB,Female,No,No,45,One year,102.15,No
3692-JHONH,Female,Yes,No,52,One year,106.5,No
6907-FLBER,Male,No,No,1,Month-to-month,54.3,No
9167-APMXZ,Female,No,No,22,Month-to-month,84.15,No
5482-PLVPE,Female,No,No,2,Month-to-month,24.35,Yes
1976-CFOCS,Female,Yes,No,1,Month-to-month,46,Yes
5119-KEPFY,Male,Yes,No,36,Month-to-month,95,No
7184-LRUUR,Female,No,No,22,One year,65.25,No
2626-VEEWG,Male,Yes,Yes,67,Two year,19.4,No
3130-ICDUP,Female,No,Yes,2,Month-to-month,80.55,No
7203-OYKCT,Male,No,No,72,One year,104.95,No
6040-CGACY,Female,No,No,15,Month-to-month,19.6,No
8347-GDTMP,Female,Yes,No,64,Two year,19.45,No
5226-NOZFC,Male,No,No,26,Month-to-month,85.75,No
1853-UDXBW,Male,Yes,Yes,1,Month-to-month,70,Yes
1229-RCALF,Female,Yes,No,64,One year,115,No
5130-YPIRV,Female,Yes,No,62,Two year,72,No
7706-YLMQA,Female,No,No,70,One year,19.7,No
5847-MXBEO,Male,No,No,22,One year,20.3,No
7537-CBQUZ,Male,No,No,63,Month-to-month,109.4,No
1907-YLNYW,Male,No,No,8,Month-to-month,66.7,No
6967-QIQRV,Male,Yes,Yes,15,One year,101.9,No
4238-JSSWH,Female,Yes,No,35,Month-to-month,102.05,No
3144-AUDBS,Female,Yes,No,6,Month-to-month,49.15,Yes
4139-DETXS,Female,Yes,Yes,72,Two year,64.45,No
4635-EJYPD,Male,Yes,Yes,32,Two year,18.95,No
2977-CEBSX,Female,No,No,66,Two year,90.05,No
7839-QRKXN,Female,No,No,1,Month-to-month,20.2,Yes
0220-EBGCE,Male,No,No,2,Month-to-month,85.85,Yes
9174-FKWZE,Female,No,No,1,Month-to-month,19.45,Yes
3315-IKYZQ,Male,Yes,Yes,28,One year,50.8,No
0463-ZSDNT,Male,No,No,10,Month-to-month,56.75,No
3545-CNWRG,Female,Yes,Yes,49,Month-to-month,98.35,No
8587-XYZSF,Male,No,No,67,Two year,50.55,No
5753-QQWPW,Female,No,No,28,One year,59.9,No
1685-VAYJF,Male,No,No,11,Month-to-month,45.2,No
